names,province,addresses,counts,points
古北水镇司马台新村山水城,北京,密云区司马台新村古北水镇司马台新村63号-1山水城（古北口镇）,34,"117.170492,40.697861"
天津古文化街,天津,天津市南开区通北路与东马路交口附近,412,"117.198268,39.149537"
塘沽外滩游船,天津,天津市滨海新区塘沽海昌商业街17号楼对面游船码头,166,"117.670044,39.017552"
天津之眼摩天轮,天津,天津市河北区三岔河口永乐桥上,104,"117.193805,39.160233"
意式风情街,天津,天津市河北区光复道8号,124,"117.206871,39.140884"
五大道,天津,天津市和平区睦南道,140,"117.20394,39.116079"
天津泰达航母主题公园,天津,天津市滨海新区汉沽汉北路269号,410,"117.815028,39.162205"
庆王府,天津,天津市和平区重庆道55号庆王府院内(近民园体育场),258,"117.214351,39.119385"
瓷房子,天津,天津市和平区赤峰道72号,92,"117.202575,39.124825"
海河游船,天津,天津市南开区古文化街码头,536,"117.201171,39.15063"
张学良故居,天津,天津市和平区赤峰道78号,86,"117.208211,39.129784"
海河外滩公园,天津,天津市滨海新区海河外滩公园,8,"117.670957,39.021379"
天津海昌极地海洋公园,天津,天津市滨海新区响螺湾中心商务区61号,1762,"117.668338,39.01374"
古文化街燕乐升萍相声茶馆,天津,天津市南开区古文化街美食街二楼99-4号,6,"117.199764,39.147895"
大悲禅院,天津,天津市河北区天纬路中段东北侧,10,"117.188943,39.156246"
天津欢乐谷,天津,天津市东丽区东丽湖旅游度假区东丽之光大道,748,"117.48083,39.193173"
静园-末代皇帝溥仪旧居,天津,天津市和平区鞍山道70号,4,"117.195893,39.128964"
张园,天津,天津和平区鞍山道59号,34,"117.20457213713,39.13652060648"
天津鼓楼天街茶馆相声帮,天津,天津市南开区盛津园29号楼006 天街茶馆（城厢中路台湾菜馆后身）,82,"117.182935,39.146773"
鼓楼,天津,天津市南开区城厢中路,16,"117.187836,39.147399"
杨柳青古镇,天津,天津市西青区杨柳青古镇景区,112,"117.021442,39.134669"
南市食品街,天津,天津市和平区南市商业圈,2,"117.191246,39.138647"
南开大学,天津,天津市南开区卫津路94号,67,"117.185475,39.109076"
洋货市场,天津,天津市滨海新区洋货步行街,4,"117.663466,39.034703"
天津方特欢乐世界,天津,天津市滨海新区中新生态城中生大道北首生态岛内,378,"117.743299,39.159433"
五大道之马场道,天津,天津市河西区津港路4号,34,"117.206525,39.110549"
天津盘山风景名胜区,天津,天津市蓟县官庄镇北15公里处,708,"117.286958,40.100119"
中华曲苑,天津,天津市和平区南市大街和清河大街交口,65,"117.19702219271,39.144464605209"
精武门·中华武林园,天津,天津市西青区精武镇小南河村,4,"117.141643,39.034742"
天津博物馆,天津,天津市河西区友谊路31号　　,6,"117.218032,39.091611"
